Property_ID,District,Unit_Type,Developer,Area_sqm,Price_EGP,Status
NAC-0271,CBD (Towers),Retail Shop,Talaat Moustafa,85,8267695,Off-plan
NAC-0272,Diplomatic Quarter,Studio,Talaat Moustafa,418,12904078,Off-plan
NAC-0273,CBD (Towers),Retail Shop,New Plan,385,29363180,Under Construction
NAC-0274,CBD (Towers),Villa,Better Home,156,13713336,Ready to Move
NAC-0275,R7 District,Apartment,Sodic,351,9534915,Under Construction
NAC-0276,Financial District,Office,Talaat Moustafa,91,4237142,Ready to Move
NAC-0277,R7 District,Office,Better Home,367,9292440,Ready to Move
NAC-0278,Financial District,Retail Shop,Talaat Moustafa,395,28998925,Under Construction
NAC-0279,Investors Area,Retail Shop,Better Home,317,9186977,Under Construction
NAC-0280,CBD (Towers),Villa,New Plan,212,24968936,Off-plan
NAC-0281,CBD (Towers),Villa,New Plan,422,48364154,Ready to Move
NAC-0282,Diplomatic Quarter,Office,Misr Italia,302,10993102,Under Construction
NAC-0283,R8 District,Villa,Ora,404,10417544,Ready to Move
NAC-0284,CBD (Towers),Apartment,Sodic,272,14762256,Ready to Move
NAC-0285,R7 District,Studio,Better Home,222,6207564,Under Construction
NAC-0286,CBD (Towers),Studio,Talaat Moustafa,306,16395174,Ready to Move
NAC-0287,Financial District,Studio,Better Home,202,11889114,Off-plan
NAC-0288,Financial District,Villa,New Plan,358,19776278,Ready to Move
NAC-0289,CBD (Towers),Office,New Plan,89,7345081,Under Construction
NAC-0290,R7 District,Villa,Talaat Moustafa,75,3084525,Under Construction
NAC-0291,Diplomatic Quarter,Retail Shop,New Plan,234,5533398,Under Construction
NAC-0292,Diplomatic Quarter,Office,Talaat Moustafa,292,8025036,Off-plan
NAC-0293,R8 District,Apartment,Better Home,119,3166947,Off-plan
NAC-0294,R8 District,Villa,Sodic,444,19333536,Ready to Move
NAC-0295,CBD (Towers),Studio,Ora,500,35970500,Ready to Move
NAC-0296,Financial District,Office,Ora,209,12302576,Off-plan
NAC-0297,R8 District,Office,Misr Italia,84,2757132,Under Construction
NAC-0298,R7 District,Retail Shop,Misr Italia,461,15168744,Under Construction
NAC-0299,R8 District,Retail Shop,Misr Italia,255,6444360,Off-plan
NAC-0300,Diplomatic Quarter,Apartment,Misr Italia,499,15202035,Ready to Move
NAC-0301,R8 District,Retail Shop,Sodic,210,8643390,Ready to Move
NAC-0302,R8 District,Office,Ora,429,14420406,Ready to Move
NAC-0303,Financial District,Apartment,New Plan,61,3603148,Off-plan
NAC-0304,R7 District,Villa,Sodic,303,12194538,Under Construction
NAC-0305,R7 District,Retail Shop,Misr Italia,466,20866082,Under Construction
NAC-0306,R7 District,Retail Shop,Misr Italia,187,8049602,Off-plan
NAC-0307,R7 District,Office,Talaat Moustafa,386,8784202,Under Construction
NAC-0308,CBD (Towers),Studio,Misr Italia,463,34460627,Off-plan
NAC-0309,R7 District,Studio,Sodic,106,4432390,Under Construction
NAC-0310,R8 District,Retail Shop,New Plan,437,12927334,Under Construction
NAC-0311,Investors Area,Villa,Sodic,262,6988064,Ready to Move
NAC-0312,R8 District,Studio,Ora,296,12732736,Ready to Move
NAC-0313,CBD (Towers),Studio,Sodic,415,46554285,Off-plan
NAC-0314,Financial District,Villa,Ora,413,21650699,Off-plan
NAC-0315,Diplomatic Quarter,Studio,Better Home,404,12138584,Ready to Move
NAC-0316,Financial District,Apartment,Talaat Moustafa,358,23001858,Ready to Move
NAC-0317,CBD (Towers),Studio,Talaat Moustafa,226,25262732,Ready to Move
NAC-0318,R7 District,Apartment,Misr Italia,476,17625804,Off-plan
NAC-0319,R7 District,Apartment,Sodic,209,8003237,Under Construction
NAC-0320,Financial District,Studio,New Plan,221,10215504,Under Construction
NAC-0321,R7 District,Retail Shop,New Plan,142,6280234,Ready to Move
NAC-0322,Investors Area,Studio,Misr Italia,489,12993219,Ready to Move
NAC-0323,Financial District,Retail Shop,Talaat Moustafa,497,23438023,Under Construction
NAC-0324,Financial District,Office,Better Home,136,5460128,Off-plan
NAC-0325,R8 District,Apartment,Sodic,183,5399049,Off-plan
NAC-0326,R7 District,Apartment,Better Home,108,3988872,Under Construction
NAC-0327,R8 District,Villa,Misr Italia,102,4486776,Off-plan
NAC-0328,Diplomatic Quarter,Villa,Sodic,271,10640544,Off-plan
NAC-0329,CBD (Towers),Office,New Plan,429,29425968,Under Construction
NAC-0330,R8 District,Villa,Talaat Moustafa,367,12717651,Off-plan
NAC-0331,R8 District,Retail Shop,Talaat Moustafa,92,3980380,Off-plan
NAC-0332,R8 District,Apartment,New Plan,391,10735296,Off-plan
NAC-0333,Investors Area,Studio,Better Home,471,18494286,Under Construction
NAC-0334,Financial District,Apartment,Ora,353,20425639,Ready to Move
NAC-0335,R8 District,Studio,Better Home,133,3065916,Under Construction
NAC-0336,Investors Area,Villa,Ora,455,10667475,Under Construction
NAC-0337,R8 District,Retail Shop,New Plan,355,15725435,Off-plan
NAC-0338,R7 District,Apartment,New Plan,207,8968068,Under Construction
NAC-0339,Investors Area,Villa,Talaat Moustafa,370,10530570,Ready to Move
NAC-0340,CBD (Towers),Villa,Ora,380,29394900,Off-plan
NAC-0341,Investors Area,Villa,Better Home,185,6986525,Off-plan
NAC-0342,Investors Area,Studio,Sodic,294,8234058,Off-plan
NAC-0343,Diplomatic Quarter,Apartment,Misr Italia,160,4282720,Off-plan
NAC-0344,R8 District,Villa,Sodic,231,7522746,Off-plan
NAC-0345,R7 District,Apartment,Better Home,84,2945040,Ready to Move
NAC-0346,CBD (Towers),Retail Shop,Sodic,454,27971394,Under Construction
NAC-0347,R8 District,Villa,Misr Italia,281,6583830,Ready to Move
NAC-0348,CBD (Towers),Studio,New Plan,299,35794486,Under Construction
NAC-0349,Financial District,Studio,Talaat Moustafa,274,13880018,Off-plan
NAC-0350,CBD (Towers),Office,Talaat Moustafa,293,29383212,Ready to Move
NAC-0351,R7 District,Studio,Ora,402,15215298,Under Construction
NAC-0352,CBD (Towers),Retail Shop,Talaat Moustafa,470,42401520,Off-plan
NAC-0353,R8 District,Studio,Sodic,228,5833608,Under Construction
NAC-0354,R8 District,Villa,Ora,265,8716645,Off-plan
NAC-0355,CBD (Towers),Villa,Misr Italia,457,43133945,Off-plan
NAC-0356,Financial District,Villa,Better Home,165,7954650,Under Construction
NAC-0357,R8 District,Villa,New Plan,436,14789556,Ready to Move
NAC-0358,Financial District,Villa,Better Home,214,14904672,Under Construction
NAC-0359,Financial District,Office,Better Home,323,16584758,Under Construction
NAC-0360,R8 District,Office,Ora,460,14853400,Under Construction
NAC-0361,Investors Area,Office,Misr Italia,144,4322736,Off-plan
NAC-0362,R7 District,Retail Shop,Better Home,206,5134756,Under Construction
NAC-0363,R7 District,Office,Better Home,180,4733460,Ready to Move
NAC-0364,Investors Area,Retail Shop,Sodic,210,6529320,Off-plan
NAC-0365,Investors Area,Office,Misr Italia,406,17923276,Off-plan
NAC-0366,R7 District,Apartment,Ora,179,7369251,Off-plan
NAC-0367,Diplomatic Quarter,Retail Shop,Misr Italia,263,9198425,Ready to Move
NAC-0368,R7 District,Studio,Talaat Moustafa,408,16151904,Under Construction
NAC-0369,Diplomatic Quarter,Apartment,New Plan,251,8830180,Ready to Move
NAC-0370,Investors Area,Office,Talaat Moustafa,181,7347333,Ready to Move
NAC-0371,R8 District,Villa,New Plan,391,8694667,Off-plan
NAC-0372,Diplomatic Quarter,Studio,Sodic,368,15577072,Under Construction
NAC-0373,Investors Area,Apartment,Ora,64,2079488,Ready to Move
NAC-0374,Financial District,Villa,Better Home,140,6982500,Off-plan
NAC-0375,CBD (Towers),Studio,Talaat Moustafa,310,33683980,Off-plan
NAC-0376,R8 District,Studio,Better Home,156,5055336,Ready to Move
NAC-0377,Investors Area,Retail Shop,Misr Italia,439,17705748,Under Construction
NAC-0378,Diplomatic Quarter,Apartment,Sodic,83,3145285,Off-plan
NAC-0379,R8 District,Studio,Misr Italia,251,11169751,Off-plan
NAC-0380,Financial District,Villa,Misr Italia,199,9872987,Under Construction
